unified_id,game_title,mobile_storefront_url,verification_note
6a7d3a8d6bb3ea7625c2cc11,Amaterasu Iron Vow,https://apps.apple.com/vn/app/amaterasu-iron-vow/id6795901444,Official Apple storefront
6a8e421ef403c09c52273f9f,Arad: Idle RPG,https://apps.apple.com/sg/app/arad-idle-rpg/id6764715711,Official Apple storefront
664d4c17717b3b72be249ffb,boyaa poker,https://play.google.com/store/apps/details?id=com.boyaa.androidmarket,Official Google Play listing matched by publisher and title family
66b16f2ec51af0fcb9b79cf0,Chinese Poker Zingplay,https://play.google.com/store/apps/details?id=zps.game.pusoy.th,Official Google Play storefront
6a86929d824411cc333c2ea0,Cross Gate : Mobile,https://play.google.com/store/apps/details?id=com.expup.crossgatemaos,Official Google Play storefront
6a860e67e603a6fbeb054f20,FANTASY LIFE i: The Girl Who Steals Time,https://play.google.com/store/apps/details?id=jp.co.level5.fli,Official Google Play storefront
65dd59835b503a4332127724,Fierce Battle Girls: 3650 Consecutive Gacha Pulls,https://apps.apple.com/jp/app/%E7%86%B1%E6%88%A6%E5%B0%91%E5%A5%B3/id6476643375,Official Apple storefront
66f136d927e2c12894081fa7,Gangstar Mirage City,https://play.google.com/store/apps/details?id=com.levelinfinite.gst,Official Google Play storefront
648c02c49226581fae41a6c2,"Happy Mahjong - Taiwan 16-tile Mahjong, Lami Mahjong, Wild Card Red Dragon, Slot Machine",https://apps.apple.com/sg/app/%E6%AD%A1%E5%9B%8D%E9%BA%BB%E5%B0%87-%E5%8F%B0%E7%81%A316%E5%BC%B5-%E6%8B%89%E7%B1%B3%E9%BA%BB%E5%B0%87-%E7%99%BE%E6%90%AD%E7%B4%85%E4%B8%AD-%E8%80%81%E8%99%8E%E6%A9%9F/id6449351297,Official Apple storefront
55b3fed486f02b26c1001576,Kingdom Story: Brave Legion,https://play.google.com/store/apps/details?id=com.nhnent.SK10392,Official Google Play storefront
6a87f514f4d4839a2fc01819,Kiếm Khách Truyền Kỳ,https://apps.apple.com/vn/app/ki%E1%BA%BFm-kh%C3%A1ch-truy%E1%BB%81n-k%E1%BB%B3-mobile/id6782804680,Official Apple storefront
6a82f187fc4c477d4abb8747,KOF: Legend,https://play.google.com/store/apps/details?id=com.huanle.kof.sea.cbt,Official Google Play storefront
6971e06cbdfe5880b30d3d67,Last Echo,https://apps.apple.com/us/app/last-echo/id6756775576,Official Apple storefront
5669feb102ac64fb08000014,LINE Brown Farm,https://play.google.com/store/apps/details?id=com.linecorp.LGFARM,Official Google Play storefront
6a3c8227514bbdd3751f527a,Three Kingdoms: A View of the Sea,https://play.google.com/store/apps/details?id=com.tbg.sgwsz,Official Google Play storefront
681cc3b5f38a09557a83780c,War of Nova,https://play.google.com/store/apps/details?id=com.revolvinggames.stn,Official Google Play storefront
6a61d381a8d99257663bffb9,沙雕萌仙闖三界,https://apps.apple.com/sa/app/%E6%B2%99%E9%9B%95%E8%90%8C%E4%BB%99%E9%97%96%E4%B8%89%E7%95%8C/id6779474132,Official Apple storefront
